STA CRUZ CITY	CAIBONG	43	11
STA CRUZ CITY	CIGARAS	53	17
STA CRUZ CITY	MINDORO PINES	52	13
STA CRUZ CITY	CUARENTA	46	18
STA CRUZ CITY	BARAHAN 	44	15
PINAMALAYAN CITY	APLAYA	84	16
PINAMALAYAN CITY	BULI	69	19
PINAMALAYAN CITY	SABANG	69	19
PINAMALAYAN CITY	BUONG LUPA	77	19
PINAMALAYAN CITY	DEL RAZON	85	19
CALINTAAN CITY	MALPALON	64	30
CALINTAAN CITY	AMALING	69	30
CALINTAAN CITY	LUMINTAO	65	32
CALINTAAN CITY	POYPOY	57	29
CALINTAAN CITY	TANYAG	59	32
SAN JOSE	SAN AGUSTIN	61	37
SAN JOSE	BAYOTBOT	67	38
SAN JOSE	MONTE CLARO	65	35
SAN JOSE	MURTHA	71	36
SAN JOSE	BUBOG	63	39
BANSUD	CONRAZON	76	23
BANSUD	ROSACARA	74	26
BANSUD	SALCEDO	82	26
BANSUD	PROPER TUGUISAN	85	25
BANSUD	BATO	78	25
